brand,model_code,product_name,color,price_rm,copilot_support,processor_name,processor_brand,processor_ghz,cpu_benchmark,ram_gb,ram_type,display_type,display_resolution,display_size_inch,display_refresh_rate_hz,gpu_model,gpu_brand,gpu_benchmark,ssd_gb,ssd_type,io_ports,network,bluetooth,power_supply,battery_capacity_wh,dimension_cm,weight_kg,bundle,microsoft_office,warranty,release_year,expansion_slots,os,,,,,,,,
Asus,H7606W-PME038WS,ProArt P16,Nano Black,12999,1,AMD Ryzen AI 9 HX 370,AMD,2,35224,32,LPDDR5X,OLED,3840*2400,16,60,RTX 5070 Laptop GPU,NVIDIA,19960,2000,M.2 NVMe PCIe 4.0,1x USB 3.2 Gen 2 Type-C with support for display / power delivery (data speed up to 10Gbps); 1x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps); 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps); 1x HDMI 2.1 FRL; 1x 3.5mm Combo Audio Jack; 1x DC-in; SD Express 7.0 card reader,Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"Rectangle Conn, 200W AC Adapter, Output: 20V 
DC, 10A, 200W, Input: 100~240V AC, 50/60Hz 
universal",90,35.49*24.69*1.49 ~ 1.73,1.85,Backpack,Microsoft Office Home & Student 2021 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,-,Windows 11 Home,,,,,,,,
Asus," HN7306W-VLX028WMS;
 HN7306W-VLX028WSM",ProArt PX13,Nano Black,9999,1,AMD Ryzen AI 9 HX 370,AMD,2,35224,32,LPDDR5X,OLED,2880*1800,13.3,60,RTX 4060 Laptop GPU,NVIDIA,17439,1000,M.2 NVMe PCIe 4.0,1x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps); 2x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps); 1x HDMI 2.1 FRL; 1x 3.5mm Combo Audio Jack; 1x DC-in; Micro SD 4.0 card reader,Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"Rectangle Conn, 200W AC Adapter, Output: 20V 
DC, 10A, 200W, Input: 100~240V AC, 50/60Hz 
universal",73,29.82*20.90.1.58 ~ 1.77,1.38,Backpack; Stylus (ASUS Pen SA203H-MPP2.0 support); USB-A to RJ45 gigabit ethernet adapter,Microsoft Office Home & Student 2021 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,1x M.2 2230 PCIe 4.0*4,Windows 11 Home,,,,,,,,
Asus,HT5306Q-ALX018WMS; HT5306Q-ALX018WSM,ProArt PZ13,Nano Black,6999,1, Snapdragon® X Plus X1P-42-100,Snapdragon,3.2,18054,16,LPDDR5X,OLED,2880*1800,13.3,60,Qualcomm Adreno GPU,Qualcomm,1954,1000,M.2 NVMe PCIe 4.0,2x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps); SD Express 7.0 card reader,Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal",70,29.75*20.29*0.9,0.85,Backpack; Micro SD adapter; Stand; Stylus (ASUS Pen SA203H-MPP2.0 support),Microsoft Office Home & Student 2021 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,-,Windows 11 Home,,,,,,,,
Asus,UM5606W-ARJ107WMS; UM5606W-ARJ108WMS,Zenbook S16,Zumaia Gray; Scandinavian White,7999,1,AMD Ryzen AI 9 HX 370,AMD,2,35224,32,LPDDR5X,OLED,2880*1800,16,60,Radeon 890M,AMD,8235,1000,M.2 NVMe PCIe 4.0,"1x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps); 2x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps); 1x HDMI 2.1 TMDS; 1x 3.5mm Combo Audio Jack
SD 4.0 card reader",Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"TYPE-C, 65W AC Ultra Mini Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal",78,35.36*24.30*1.19,1.5,Stylus (ASUS Pen SA203H-MPP2.0 support); USB-A to RJ45 gigabit ethernet adapter,Microsoft Office Home & Student  2024 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,1x M.2 2230 PCIe 4.0*4,Windows 11 Home,,,,,,,,
Asus,UX5406S-APV208WMS; UX5406S-APV209WMS,Zenbook S14,Zumaia Gray; Scandinavian White,6999,1,Intel® Core Ultra 7 Processor 258V 32GB,Intel,2.2,19046,32,LPDDR5X,OLED,2880*1800,14,120,Intel Arc,Intel Arc,5506,1000,M.2 NVMe PCIe 4.0,1x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps); 2x Thunderbolt™ 4 with support for display / power delivery (data speed up to 40Gbps); 1x HDMI 2.1 TMDS; 1x 3.5mm Combo Audio Jack,Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal",72,31.03*21.47*1.19,1.2,Sleeve; USB-A to RJ45 gigabit ethernet adapter,Microsoft Office Home & Student  2024 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,1x M.2 2280 PCIe 4.0*4,Windows 11 Home,,,,,,,,
Asus,UX3407R-AQD0326WS; UX3407R-AQD0328WS,Zenbook A14,Zabriskie Beige; Iceland Gray,5999,1,Snapdragon® X Elite X1E-78-100,Snapdragon,3.4,22867,32,LPDDR5X,OLED,1920*1080,14,60,Qualcomm Adreno GPU,Qualcomm,1954,1000,M.2 NVMe PCIe 4.0,1x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps); 2x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps); 1x HDMI 2.1 TMDS; 1x 3.5mm Combo Audio Jack,Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"TYPE-C, 90W AC Adapter, Output 20V DC, 4.5A, 90W, Input: 100~240V AC 50/60Hz universal",70,31.07*21.39*1.34~1.59,0.98,Sleeve,Microsoft Office Home & Student  2024 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,-,Windows 11 Home,,,,,,,,
Asus,UX3407Q-ASB0226WS; UX3407Q-ASB0228WS,Zenbook A14,Zabriskie Beige; Iceland Gray,4999,1,Snapdragon® X  X1-26-100,Snapdragon,2.97,16520,32,LPDDR5X,OLED,1920*1080,14,60,Qualcomm Adreno GPU,Qualcomm,1954,1000,M.2 NVMe PCIe 4.0,1x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps); 2x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps); 1x HDMI 2.1 TMDS; 1x 3.5mm Combo Audio Jack,Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"TYPE-C, 65W AC Ultra Mini Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal, TYPE-C Cable: 240W",48,31.07*21.39*1.34~1.60,0.9,Sleeve,Microsoft Office Home & Student  2024 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,-,Windows 11 Home,,,,,,,,
Asus,"UX3405C-APZ346WS
 UX3405C-APZ348WS",Zenbook 14,Foggy Silver; Ponder Blue,7399,0,Intel® Core Ultra 9 Processor 285H,Intel,2.9,34035,32,LPDDR5X,OLED,2880*1800,14,60,Intel Arc,Intel Arc,5506,1000,M.2 NVMe PCIe 4.0,1x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps); 2x Thunderbolt 4 with support for display / power delivery (data speed up to 40Gbps); 1x HDMI 2.1 TMDS; 1x 3.5mm Combo Audio Jack,Wi-Fi 6E(802.11ax) (Triple band) 2*2,5.4,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal",75,31.24*22.01*1.49~1.49,1.28,Sleeve; USB-A to RJ45 gigabit ethernet adapter,Microsoft Office Home & Student  2024 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,-,Windows 11 Home,,,,,,,,
Asus,"UX3405C-APZ146WS
 UX3405C-APZ148WS",Zenbook 14,Foggy Silver; Ponder Blue,4699,0,Intel® Core Ultra 5 Processor 225H,Intel,1.7,29055,16,LPDDR5X,OLED,2880*1800,14,60,Intel Arc,Intel Arc,5506,512,M.2 NVMe PCIe 4.0,1x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps); 2x Thunderbolt 4 with support for display / power delivery (data speed up to 40Gbps); 1x HDMI 2.1 TMDS; 1x 3.5mm Combo Audio Jack,Wi-Fi 7(802.11be) (Triple band) 2*2,5.4,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal",75,31.24*22.01*1.49~1.49,1.28,Sleeve; USB-A to RJ45 gigabit ethernet adapter,Microsoft Office Home & Student  2024 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,-,Windows 11 Home,,,,,,,,
Asus,UM3406K-AQD112WS,Zenbook 14,Jade Black,4399,1,AMD Ryzen AI 7 350 Processor,AMD,2,24526,16,LPDDR5X,OLED,1920*1200,14,60,Radeon Graphics,AMD,-,512,M.2 NVMe PCIe 4.0,"1x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps); 1x USB 3.2 Gen 2 Type-C with support for display / power delivery (data speed up to 10Gbps; 1x USB 4.0 Gen 3 Type-C with support for display / 
power delivery (data speed up to 40Gbps); 1x HDMI 2.1 TMDS; 1x 3.5mm Combo Audio Jack",Wi-Fi 6E(802.11ax) (Triple band) 2*2,5.3,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal",75,31.24*22.01*1.49~1.49,1.2,Sleeve,Microsoft Office Home & Student  2024 + Microsoft 365 Basic,2-year Global with 1st year Perfect Warranty,2025,-,Windows 11 Home,,,,,,,,
